group	artifact	version	license	binary_files
androidx.compose.ui	ui-tooling-data-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-tooling-data-android-1.7.6.aar,ui-tooling-data-release.aar
androidx.compose.ui	ui-tooling-preview	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-tooling-preview-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-tooling-preview-android-1.7.6.aar,ui-tooling-preview-release.aar
androidx.compose.ui	ui-unit	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-unit-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-unit-android-1.7.6.aar,ui-unit-release.aar
androidx.compose.ui	ui-util	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-util-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-util-android-1.7.6.aar,ui-util-release.aar
androidx.concurrent	concurrent-futures	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.concurrent	concurrent-futures	1.1.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	concurrent-futures-1.1.0.jar
androidx.concurrent	concurrent-futures-ktx	1.1.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	concurrent-futures-ktx-1.1.0.jar
androidx.core	core	1.12.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.core	core	1.13.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.core	core	1.13.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-1.13.1.aar
androidx.core	core	1.15.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-1.15.0.aar
androidx.core	core	1.9.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-1.9.0.aar
androidx.core	core-ktx	1.12.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.core	core-ktx	1.13.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.core	core-ktx	1.13.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-ktx-1.13.1.aar
androidx.core	core-ktx	1.15.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-ktx-1.15.0.aar
androidx.core	core-ktx	1.9.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.core	core-remoteviews	1.1.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-remoteviews-1.1.0.aar
androidx.cursoradapter	cursoradapter	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	cursoradapter-1.0.0.aar
androidx.customview	customview	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	customview-1.0.0.aar
androidx.customview	customview-poolingcontainer	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	customview-poolingcontainer-1.0.0.aar
androidx.databinding	databinding-common	8.7.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	databinding-common-8.7.3.jar
androidx.databinding	databinding-compiler-common	8.7.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	databinding-compiler-common-8.7.3.jar
androidx.datastore	datastore	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.datastore	datastore	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.datastore	datastore-android	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	datastore-android-1.1.7.aar,datastore-release.aar
androidx.datastore	datastore-core	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.datastore	datastore-core-android	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	datastore-core-android-1.1.7.aar,datastore-core-release.aar
androidx.datastore	datastore-core-okio	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.datastore	datastore-core-okio-jvm	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	datastore-core-okio-jvm-1.1.7.jar
androidx.datastore	datastore-preferences	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
